,impression_id,user_id,time,history,impressions
13809,13810,U60170,11/14/2019 10:03:11 AM,N871 N64208 N52536 N4526 N53872 N62058 N4607 N37394 N50710,N25165-0 N63060-0 N45734-1 N29212-0 N38779-0 N1539-0 N23446-0 N45523-0
36132,36133,U25928,11/12/2019 10:37:35 AM,N45636 N50299 N60384 N19594,N55281-0 N63970-1 N50688-0 N54125-0 N49487-0 N41020-0 N60272-0 N38309-0 N19092-0 N9139-0 N52180-0 N20015-0 N47981-0 N43102-0 N60445-0 N58363-0 N926-0 N30920-0 N22442-0 N11817-0 N21741-0 N6929-0 N18685-0 N34998-0 N16166-0 N53084-0 N7319-0 N16291-0 N31147-0 N11138-0 N24111-0 N8349-0 N28585-0 N48046-0 N1644-0 N24176-1 N54274-0 N32182-0 N16050-0 N27932-0 N834-0 N33883-0 N23547-0 N32589-0 N46779-0 N17168-0 N3344-0 N46992-0 N49180-0 N33677-0 N61408-0 N17896-0 N61397-0 N3123-0 N31978-0 N357-0 N60105-0 N20041-0 N61760-0 N43460-0 N34657-0 N18377-0 N48473-0 N64152-0 N34956-1 N13987-0 N34977-0 N22215-0 N62386-0 N3841-0 N16314-0 N26940-0 N19318-0 N62360-0 N33619-0 N32691-0 N54666-0 N15315-0 N58499-0 N52122-0 N55606-0 N11793-0 N45389-0 N55309-0 N57713-0 N3748-0 N5516-0 N6056-0 N13981-0 N45551-0 N57426-0 N31947-0 N32010-0 N61463-0 N19075-0 N26262-0 N22457-0 N57754-0 N61822-0 N17069-0 N51285-0 N51187-0 N64734-0 N16096-0 N17195-0 N32544-0 N3663-0 N13486-1 N2823-0 N41387-0 N29155-0 N1468-0 N41354-0
42656,42657,U25497,11/14/2019 7:52:25 PM,N30344 N21087 N6233 N40141 N32560 N258 N10814,N41934-0 N52867-1 N56211-0 N27737-0 N61233-0 N14478-0
49087,49088,U9318,11/14/2019 6:58:08 AM,N54822 N848 N52500 N52551 N32004,N50872-0 N23446-1 N40109-0 N51570-0 N38779-0 N47098-0
53927,53928,U66830,11/12/2019 6:04:42 AM,N47954 N10732 N21215 N10897 N22161 N28311 N64214 N22260,N31504-0 N36789-0 N59713-0 N60105-0 N63154-1 N4985-0 N44516-0 N61760-0 N49180-0 N20041-0 N64748-0 N27932-0 N33619-0 N58054-0 N31947-0 N60577-0 N7319-0 N34580-0 N21509-0 N28188-0 N62395-0 N31978-0 N47578-0 N41020-0 N50675-0 N14184-0 N32544-0 N24207-0
54151,54152,U60170,11/12/2019 12:35:21 PM,N871 N64208 N52536 N4526 N53872 N62058 N4607 N37394 N50710,N45551-0 N49180-0 N34998-0 N31978-0 N59407-0 N40839-0 N41020-0 N36850-0 N57426-0 N42634-0 N57754-0 N38309-0 N17069-1 N64851-0 N3123-0 N6975-0 N41220-0 N56243-0 N16096-0 N3344-0 N30518-0 N32544-0 N12424-0 N1680-0 N2823-0 N31029-0 N39810-0 N55606-0 N62386-0 N9719-0 N33677-0 N18708-0 N31370-0 N58363-0 N45389-0 N7328-0 N63970-0 N32182-0 N21753-0 N32010-0 N62360-0
61498,61499,U57295,11/14/2019 8:40:53 AM,N16292 N619 N63180 N54842 N33096 N52500,N23446-0 N40109-0 N29212-0 N38779-1
72572,72573,U60170,11/11/2019 12:50:59 PM,N871 N64208 N52536 N4526 N53872 N62058 N4607 N37394 N50710,N23414-1 N13930-0
79791,79792,U57255,11/14/2019 10:02:41 PM,N10732 N43357 N49860 N21178 N45561,N2235-0 N60750-0 N63899-0 N22975-0 N50055-0 N47652-0 N64037-1 N46917-0
87371,87372,U89637,11/14/2019 8:08:27 AM,N26730 N18957 N38118 N52500 N4607 N50 N63823,N38779-0 N47098-0 N23446-0 N50872-0 N29212-0 N23877-0 N6477-1
98176,98177,U66830,11/11/2019 6:34:22 PM,N47954 N10732 N21215 N10897 N22161 N28311 N64214 N22260,N55689-0 N39765-0 N2350-0 N40901-0 N54489-0 N6760-0 N14440-0 N31035-0 N3541-0 N65118-0 N46526-0 N357-0 N3821-0 N44516-0 N29128-0 N5370-0 N19423-0 N33123-0 N34580-0 N43496-0 N17468-0 N3322-0 N4936-0 N35272-0 N36232-0 N23254-0 N57402-0 N61065-0 N41380-0 N42144-0 N48326-0 N58054-1 N1914-0 N9464-0 N19542-0 N42597-0 N24985-0 N55936-0 N57344-0 N12800-0 N46029-0 N4569-0 N60606-0 N25624-0 N13816-0 N21509-0 N23414-0 N45660-0 N16920-0 N60577-0 N38201-0 N58410-0 N8399-0 N63683-0 N24686-0 N32691-0 N53585-0 N33848-0 N41704-0 N61623-0 N30518-0 N57957-0 N12523-0 N11768-0 N55204-0 N27966-0 N41222-0
98684,98685,U27158,11/14/2019 3:33:30 AM,N36637 N16215 N49103 N18275 N7376 N46616 N55000 N8745 N10120,N23877-0 N8015-0 N64174-1 N40109-0 N48017-0 N9623-0 N50872-0
99433,99434,U60170,11/11/2019 10:46:15 AM,N871 N64208 N52536 N4526 N53872 N62058 N4607 N37394 N50710,N35729-0 N53585-1 N21707-0 N59981-0 N55689-1 N52622-0 N40725-0
101223,101224,U24208,11/14/2019 8:59:47 AM,N51591 N2642 N47954 N13475 N47289 N45962 N306 N37663 N42992 N22816,N29212-0 N6477-0 N38779-1 N6578-0 N23446-0
116144,116145,U66830,11/14/2019 12:38:47 PM,N47954 N10732 N21215 N10897 N22161 N28311 N64214 N22260,N34185-0 N40109-0 N38779-1 N50872-0 N62318-0 N1539-0 N19661-0
123529,123530,U9318,11/14/2019 7:13:41 AM,N54822 N848 N52500 N52551 N32004,N47098-0 N23877-1 N51570-0 N50872-0 N46821-0 N48017-0 N40109-0 N38779-0 N36226-0
137743,137744,U66830,11/13/2019 5:51:52 PM,N47954 N10732 N21215 N10897 N22161 N28311 N64214 N22260,N51287-0 N31893-0 N35847-0 N15719-0 N18059-0 N48663-0 N19444-0 N64252-0 N50288-0 N46186-0 N8559-0 N60059-0 N41122-0 N32519-1 N26262-0 N17031-0 N25064-0 N41258-0 N62805-0 N58814-0 N21218-0 N5415-0 N38215-0 N62894-0 N7618-0 N55505-0 N47149-0 N36182-0 N976-0 N9009-0 N19017-0 N14726-0 N7462-0 N31050-0 N19867-0 N50014-0 N14029-0 N26233-0 N25040-0 N31978-0 N40387-0 N28496-0 N51048-0 N5358-0 N58114-0 N34580-0 N43522-0 N64632-0 N6787-0 N63342-0 N13011-0 N41172-0 N4642-0 N8347-0 N48705-0 N17468-0 N5652-0 N4404-0 N41380-0 N11769-0 N31962-0 N56214-0 N4510-0 N21420-0 N59385-0 N46613-0 N62003-0 N21297-0 N3344-0 N14523-0 N51194-0 N31948-0 N23814-0 N3517-0 N55132-0 N17117-0 N35273-0 N28962-0 N62532-0 N22417-0 N38550-0 N40705-0 N36261-0 N64184-0 N3589-0 N47717-0 N4754-0 N33831-0 N9349-0 N8509-0 N37437-0 N20770-0 N38490-0 N10746-0 N103-0 N61588-0 N25444-0 N52554-0 N43487-0 N48887-0 N47346-0
150442,150443,U89637,11/12/2019 10:45:39 AM,N26730 N18957 N38118 N52500 N4607 N50 N63823,N31395-0 N42634-0 N63970-1 N62386-0 N51285-0 N33619-0 N32182-0 N62360-0 N41387-0 N33261-0 N41020-0 N43999-0 N16096-0 N7319-0 N31947-0 N3123-0 N45551-0 N24111-0 N32544-0 N10332-0 N3344-0 N40839-0 N55606-0 N17069-0 N49180-0 N31978-0 N64734-0 N32789-0
154285,154286,U25928,11/14/2019 5:51:35 PM,N45636 N50299 N60384 N19594,N61233-1 N41934-0 N56211-0
154521,154522,U27158,11/11/2019 2:36:37 PM,N36637 N16215 N49103 N18275 N7376 N46616 N55000 N8745 N10120,N52474-0 N12028-0 N12492-0 N54482-0 N46029-0 N22457-0 N43502-0 N3541-0 N19542-0 N30998-0 N35272-0 N23414-1 N21882-0 N6099-0 N20954-0 N12761-0 N9271-0 N34724-0 N57535-0 N58003-0 N26673-0 N12800-0 N44422-0 N60872-0 N45456-0 N46966-0 N3894-0 N16096-0 N39765-0 N43648-0 N58710-0 N33848-0 N51896-0 N32087-0 N15855-0 N47229-0 N64009-0 N57342-0 N43338-0 N6342-1 N2869-0 N61623-0 N53585-0 N57809-0 N15761-0 N36712-0 N59407-0 N52622-0 N36186-0 N48578-0 N23081-0 N51633-0 N54988-0 N37781-0 N42266-0 N2952-0 N55689-0 N24686-0 N555-0 N54489-0
